Brand,Model,Price,RAM,Storage,Battery,DisplaySize,RefreshRate,Processor,CameraMP,FrontCameraMP,OS,HeadphoneJack,FiveG,WaterResistance,URL
Google,Google Pixel 10a,679,8,128,5100,160.0,120,Octa-Core,48,13,Android,False,True,True,https://www.gsmarena.com/google_pixel_10a_5g-14474.php
Google,Google Pixel 10 Pro,1100,16,128,4870,160.0,120,Octa-Core,50,42,Android,False,True,True,https://www.gsmarena.com/google_pixel_10_pro_5g-13987.php
Google,Google Pixel 10,679,12,128,4970,160.0,120,Octa-Core,48,5,Android,False,True,True,https://www.gsmarena.com/google_pixel_10_5g-13979.php
Google,Google Pixel 7 Pro,315,8,128,5000,170.2,120,Octa-Core,50,8,Android,False,True,True,https://www.gsmarena.com/google_pixel_7_pro-11908.php
Google,Google Pixel 10 Pro XL,1299,16,256,5200,172.7,120,Octa-Core,50,42,Android,False,True,True,https://www.gsmarena.com/google_pixel_10_pro_xl_5g-13988.php
Google,Google Pixel 9,552,12,128,4700,160.0,120,Octa-Core,50,5,Android,False,True,True,https://www.gsmarena.com/google_pixel_9-13219.php
Google,Google Pixel 7,255,8,128,4355,160.0,90,Octa-Core,50,8,Android,False,True,True,https://www.gsmarena.com/google_pixel_7-11903.php
Google,Google Pixel 9a,629,8,128,5100,160.0,120,Octa-Core,48,13,Android,False,True,True,https://www.gsmarena.com/google_pixel_9a-13478.php
Google,Google Pixel 8,298,8,128,4575,157.5,120,Octa-Core,50,5,Android,False,True,True,https://www.gsmarena.com/google_pixel_8-12546.php
Google,Google Pixel 8 Pro,411,12,128,5050,170.2,120,Octa-Core,50,5,Android,False,True,True,https://www.gsmarena.com/google_pixel_8_pro-12545.php
Google,Google Pixel 7a,299,8,128,4385,154.9,90,Octa-Core,64,13,Android,False,True,True,https://www.gsmarena.com/google_pixel_7a-12170.php
Google,Google Pixel 9 Pro,699,16,128,4700,160.0,120,Octa-Core,50,42,Android,False,True,True,https://www.gsmarena.com/google_pixel_9_pro-13218.php
Google,Google Pixel 6a,221,6,128,4410,154.9,60,Octa-Core,2,8,Android,False,True,True,https://www.gsmarena.com/google_pixel_6a-11229.php
Google,Google Pixel 6 Pro,310,12,128,5003,170.2,120,Octa-Core,50,1,Android,False,True,True,https://www.gsmarena.com/google_pixel_6_pro-10918.php
Google,Google Pixel 9 Pro XL,726,16,128,5060,172.7,120,Octa-Core,50,42,Android,False,True,True,https://www.gsmarena.com/google_pixel_9_pro_xl-13217.php
